"TOA5","CR1000","CR1000","39246","CR1000.Std.27","CPU:PSH-Climate_v3.0.CR1","28515","CLData"
"TIMESTAMP","RECORD","Batt_Volt_Min","AirTC_Avg","AirTC_Std","RH","AirTC_2_Avg","AirTC_2_Std","RH_2","AirTC_3_Avg","AirTC_3_Std","RH_3","SlrW_Avg","SlrW_Std","SlrMJ_Tot","SlrW_2_Avg","SlrW_2_Std","SlrMJ_2_Tot","Rain_mm_Tot","SrlNum","ProgNam","OSVer","StatName","MsgVar","FanStatus","Tach_Tot"
"TS","RN","Volts","Deg C","Deg C","%","Deg C","Deg C","%","Deg C","Deg C","%","W/m²","W/m²","MJ/m²","W/m²","W/m²","MJ/m²","mm","","","","","","","RPM"
"","","Min","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Tot","Avg","Std","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-02-26 09:25:00",14401,12.33,26.27,0.102,74.7,29.39,0.542,3.451,25.6,0.041,70.37,404.6,41.01,0.1213728,57.17,2.027,0.01714954,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 09:30:00",14402,12.67,26.59,0.189,74.23,29.88,0.466,2.639,25.94,0.251,68.34,444.5,19.3,0.1333582,68.2,6.896,0.02046032,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 09:35:00",14403,12.41,26.86,0.156,74.16,30.28,0.55,2.876,26.34,0.118,68.81,453.4,97.6,0.136007,83.5,10.34,0.02505627,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 09:40:00",14404,12.42,27.31,0.133,73.38,30.64,0.49,2.876,26.64,0.095,67.9,469.8,105,0.1409284,99.4,20.25,0.02983491,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 09:45:00",14405,12.44,27.41,0.205,71.82,30.87,0.614,3.349,26.5,0.13,66.07,508.1,183.4,0.1524213,173.2,16.7,0.051975,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 09:50:00",14406,12.57,27.54,0.13,70.7,30.94,0.689,3.214,26.63,0.047,66.17,548.4,101.3,0.1645116,163.2,14.07,0.04895607,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 09:55:00",14407,13.04,27.63,0.115,69.72,31.1,0.731,3.654,26.57,0.089,65.16,640.7,14.93,0.1921986,153.6,3.59,0.04609075,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:00:00",14408,12.09,27.64,0.172,70.13,31.18,0.879,3.383,26.57,0.117,66.1,439.7,188.8,0.1319238,145.5,14.95,0.04363588,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:05:00",14409,12.15,27.58,0.165,70.16,31.14,0.804,3.484,26.5,0.139,65.66,554.9,141.8,0.1664774,117.4,6.137,0.03521121,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:10:00",14410,12.4,27.66,0.135,71.04,31.14,0.959,3.383,26.63,0.102,66.14,609.5,114.9,0.1828597,124.2,9.45,0.03726399,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:15:00",14411,12.43,27.7,0.12,71.35,31.02,1.467,3.349,26.72,0.045,66.91,659.9,130.1,0.1979752,148.5,14.02,0.04454936,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:20:00",14412,12.62,28.6,0.541,69.28,32.17,1.763,3.18,27.31,0.403,64.58,710.6,93.5,0.2131663,163.3,8.98,0.04899432,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:25:00",14413,12.34,28.55,0.231,70.06,32.05,1.098,3.146,27.74,0.164,64.34,622.2,191.9,0.1866701,166.6,7.938,0.04996705,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:30:00",14414,12.77,29.01,0.38,66.57,32.44,1.419,7.171,28.22,0.447,61.93,793.9,74.88,0.2381772,196.6,8.31,0.05898565,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:35:00",14415,12.28,29.37,0.399,67.04,33.05,1.312,4.532,29.29,0.347,61.46,576,238.7,0.1728054,194.2,11.47,0.05825541,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:40:00",14416,12.48,28.44,0.173,67.65,32.25,1.238,6.224,28.01,0.303,62.91,682.5,206.7,0.2047434,217.3,9.83,0.06517574,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:45:00",14417,12.46,28.54,0.138,67.04,32.24,1.059,6.021,27.97,0.191,63.25,713.2,207.5,0.2139738,201.3,9.68,0.0603865,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:50:00",14418,12.71,28.46,0.159,67.37,32.12,0.947,6.054,27.61,0.212,63.72,796.7,109.5,0.2390057,180.3,14.62,0.05408979,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 10:55:00",14419,12.32,28.34,0.157,66.9,31.72,1.01,6.257,27.49,0.148,63.99,543.8,273.4,0.1631526,181,15.03,0.05430638,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:00:00",14420,12.22,28.15,0.099,66.96,31.71,0.645,5.885,27.28,0.082,63.51,474.5,302.3,0.1423518,188.1,21.81,0.0564168,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:05:00",14421,13.07,28.62,0.342,66.96,32.12,1.218,5.682,27.95,0.402,62.06,865,13.6,0.2593557,185.4,15.46,0.05561472,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:10:00",14422,13.1,29.1,0.182,65.57,32.7,1.224,5.309,28.7,0.158,61.18,888,17.17,0.2662726,178.9,17.52,0.05366748,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:15:00",14423,12.34,28.82,0.222,66.25,32.31,1.106,4.768,28.09,0.255,62.19,676.6,274.4,0.2029688,145.7,11.76,0.04369808,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:20:00",14424,12.37,28.45,0.146,65.61,32.17,0.956,4.667,27.66,0.217,61.82,830,225.2,0.2489313,202,17.51,0.06061075,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:25:00",14425,12.22,29.04,0.218,64.19,32.75,1.116,4.633,28.48,0.255,59.08,828,208,0.2485295,169.8,5.353,0.05094342,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:30:00",14426,12.61,29.15,0.178,64.25,32.79,0.823,5.952,28.41,0.169,60.43,889,73,0.266803,153.3,5.413,0.04598672,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:35:00",14427,12.26,28.96,0.187,64.63,32.59,0.895,4.87,28.18,0.256,60.87,572.8,314.2,0.171825,153.9,10.81,0.0461721,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:40:00",14428,12.25,28.56,0.123,65.78,32.04,0.786,4.396,27.73,0.154,62.6,524.1,325.9,0.1572425,155.6,19.57,0.04668784,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:45:00",14429,12.18,28.64,0.13,65.37,32.07,0.702,4.227,27.81,0.167,62.5,501.5,345.1,0.1504372,138.5,31.48,0.04154135,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:50:00",14430,12.21,28.41,0.091,66.01,31.79,0.607,4.261,27.58,0.084,62.84,667.6,366.8,0.2002854,202.2,36.23,0.06066048,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 11:55:00",14431,12.24,28.52,0.108,66.29,31.87,0.743,4.329,27.67,0.088,63.65,299.5,137.2,0.08984702,193.9,17.49,0.05817108,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:00:00",14432,12.28,28.63,0.111,65.68,32,0.707,5.107,27.87,0.115,62.09,482.5,255.3,0.1447482,279.1,80.7,0.08372974,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:05:00",14433,12.22,28.6,0.106,64.32,32.04,0.679,4.43,27.75,0.078,61.65,384.6,227.1,0.1153762,236.7,28.56,0.07100973,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:10:00",14434,12.21,28.88,0.205,63.34,32.34,0.733,4.261,28.07,0.311,59.79,413.1,246.6,0.1239217,261.5,79.57,0.07845683,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:15:00",14435,12.22,28.74,0.101,65.81,32.05,0.712,3.957,27.98,0.109,62.36,414.1,172.5,0.1242376,268,34.11,0.08039271,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:20:00",14436,12.16,28.76,0.091,63.89,32.26,0.672,5.073,28.01,0.106,60.03,702.7,346.2,0.2107981,266.6,32.69,0.07997086,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:25:00",14437,12.16,29.08,0.233,64.19,32.65,0.798,4.464,28.41,0.133,60.71,841,327.3,0.2524075,182.6,14.8,0.05479456,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:30:00",14438,12.21,29.54,0.228,62.26,32.82,0.606,4.126,28.89,0.192,58.3,627.7,376.5,0.1883025,191.2,16.87,0.05734826,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:35:00",14439,12.22,29.35,0.113,62.29,32.79,0.711,4.058,28.57,0.148,59.12,377.6,246.1,0.113286,214.5,27.69,0.0643648,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:40:00",14440,12.24,29.33,0.095,62.5,32.62,0.698,5.14,28.5,0.069,59.39,505,276.3,0.1514898,293.9,41.55,0.08817217,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:45:00",14441,12.14,29.37,0.11,62.23,32.61,0.539,4.193,28.58,0.095,59.22,339.2,46.67,0.1017596,281.4,36.45,0.08443185,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:50:00",14442,12.12,29.47,0.131,61.65,32.93,0.825,4.058,28.92,0.065,57.9,581.4,342.4,0.1744173,179.4,13.08,0.05381953,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 12:55:00",14443,12.18,29.79,0.198,61.72,33.19,0.777,4.802,29.13,0.18,58.17,565.4,342.6,0.1696244,169.5,14.41,0.05085877,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:00:00",14444,12.16,29.8,0.118,60.33,32.89,0.58,5.343,29.03,0.118,57.05,773.2,384.1,0.2319506,241.8,87.2,0.07253823,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:05:00",14445,12.18,29.77,0.114,61.82,33.04,0.686,4.937,28.91,0.069,58.4,394.5,275.8,0.1183644,237.4,42.28,0.07122776,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:10:00",14446,12.17,29.98,0.114,59.11,33.42,0.705,5.039,29.3,0.132,55.83,824,327.6,0.2471342,295.4,9.31,0.08863061,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:15:00",14447,12.1,29.88,0.09,60.23,33.12,0.587,5.039,29.07,0.1,57.02,285,48.7,0.08550174,328.4,162.2,0.09853111,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:20:00",14448,12.12,30.17,0.115,57.9,33.45,0.783,7.44,29.41,0.106,54.55,267.4,16.87,0.08021273,692.2,194.4,0.2076642,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:25:00",14449,12.16,30.96,0.384,55.66,34.28,0.784,4.295,30.25,0.419,51.98,287.1,51.54,0.08613066,742.9,151.7,0.2228736,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:30:00",14450,12.19,30.8,0.252,58.23,34.03,0.854,3.923,29.83,0.353,55.19,684.1,223,0.2052351,723.6,197.5,0.2170823,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:35:00",14451,12.19,30.69,0.106,56.27,33.8,0.725,4.329,29.68,0.125,53.36,877,255.6,0.2632117,729.5,197.1,0.2188533,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:40:00",14452,12.24,30.87,0.155,58.67,33.94,0.613,3.855,30,0.141,54.85,747.6,347.5,0.2242812,605.1,277,0.1815441,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:45:00",14453,12.18,30.62,0.147,60.7,33.94,0.821,4.768,29.81,0.145,57.76,394.5,256.7,0.1183453,328,209,0.09840802,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:50:00",14454,12.16,30.56,0.095,57.42,33.81,0.755,3.923,29.65,0.103,54.72,272.8,35.27,0.08185457,245.6,34.24,0.07369117,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 13:55:00",14455,12.12,30.47,0.074,57.73,33.48,0.675,3.855,29.48,0.041,54.65,234.8,24.3,0.07044867,224.2,25.04,0.06724828,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:00:00",14456,12.09,30.46,0.069,58.06,33.54,0.589,4.092,29.57,0.049,54.78,321.8,242.7,0.09654208,304.8,212,0.09144671,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:05:00",14457,12.11,30.82,0.265,55.97,33.86,0.782,3.855,29.95,0.228,52.42,1004,153.1,0.3012968,932,143.1,0.2797253,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:10:00",14458,12.12,31.11,0.173,55.22,34.2,0.814,4.024,30.27,0.161,51.54,982,218.2,0.2944819,905,192.4,0.2715348,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:15:00",14459,12.07,31.63,0.23,55.66,34.74,0.759,3.787,30.54,0.281,52.35,220.2,25.15,0.06605314,222.9,17.48,0.06688232,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:20:00",14460,12.05,31.26,0.113,56.77,34.4,0.747,4.125,30.07,0.067,54.41,269,260.8,0.08069653,279.6,236.4,0.08386584,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:25:00",14461,12.07,31.47,0.305,55.01,34.34,0.72,4.091,30.38,0.301,51.6,1034,74.67,0.3102152,965,71.77,0.2896362,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:30:00",14462,12.13,32.54,0.256,53.73,35.62,0.815,5.241,31.31,0.152,49.7,401.9,275.7,0.120562,385.9,245.1,0.1157594,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:35:00",14463,12.09,31.78,0.158,55.21,34.84,0.618,4.497,30.51,0.23,52.03,272.5,56.38,0.08174629,275.8,56.16,0.0827409,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:40:00",14464,12.08,31.52,0.106,55.48,34.51,0.681,4.26,30.03,0.087,52.2,242.3,100.7,0.07269957,249.5,91.1,0.07486324,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:45:00",14465,12.06,31.5,0.111,56.09,34.43,0.814,4.463,30.08,0.115,52.44,888,242.2,0.2663522,892,240.1,0.2676807,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:50:00",14466,12.04,31.64,0.086,55.24,34.54,0.765,4.463,30.23,0.082,51.76,978,16.5,0.2934502,1003,15.49,0.3007955,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 14:55:00",14467,12.06,31.93,0.214,53.72,34.8,0.831,4.158,30.54,0.188,50.64,966,37.56,0.2897796,967,39.46,0.2902188,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:00:00",14468,12.11,34.98,1.616,55.85,37.95,1.715,15.31,31.58,0.38,49.12,854,257.7,0.2560522,846,258.2,0.2538304,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:05:00",14469,12.08,34.75,0.437,55.98,37.73,0.848,9.36,31.19,0.275,50.64,681.4,352.8,0.2044128,683.8,360.2,0.2051257,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:10:00",14470,12.05,34.12,0.227,58.01,36.99,0.717,6.018,30.6,0.217,52.23,185.9,8.26,0.05577822,171.3,10.36,0.0513847,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:15:00",14471,12.05,33.98,0.204,57.51,36.7,0.694,5.071,30.3,0.05,51.79,743.2,273,0.2229745,790.6,301.5,0.2371837,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:20:00",14472,12.05,34.23,0.199,55.68,37.06,0.707,4.902,30.72,0.1,50.37,916,138.8,0.2748455,1002,149.6,0.3005769,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:25:00",14473,12,34.12,0.158,56.96,37.01,0.657,4.767,30.5,0.083,52.27,276.2,171.4,0.08286321,319,189.7,0.09568883,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:30:00",14474,12,33.86,0.206,56.52,36.67,0.783,4.868,30.27,0.063,51.22,328.3,299.1,0.09848516,367.4,329.2,0.1102229,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:35:00",14475,12.04,33.87,0.161,56.66,36.66,0.713,4.868,30.36,0.106,50.85,609.6,275.8,0.1828847,668.1,319.9,0.2004367,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:40:00",14476,12.05,34.15,0.201,55.78,36.85,0.717,6.187,30.78,0.136,50.78,449.2,317.3,0.1347742,507.9,356.5,0.1523592,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-02-26 15:45:00",14477,12,34,0.143,57.27,36.64,0.711,5.477,30.58,0.062,52.03,163.3,5.58,0.04898188,187.2,2.871,0.05616965,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
